O*NET-SOC Code,Title,Element ID,Element Name,Importance,Importance_SE,Importance_LowerCI,Importance_UpperCI,Level,Level_SE,Level_LowerCI,Level_UpperCI,SkillScore
19-4071.00,Forest and Conservation Technicians,2.A.1.b,Active Listening,3.75,0.1637,3.4292,4.0708,3.75,0.1637,3.4292,4.0708,40.2
19-4071.00,Forest and Conservation Technicians,2.A.1.c,Writing,3.0,0.0,3.0,3.0,3.12,0.125,2.88,3.37,26.7
19-4071.00,Forest and Conservation Technicians,2.A.1.d,Speaking,3.25,0.1637,2.9292,3.5708,3.5,0.189,3.1296,3.8704,32.5
19-4071.00,Forest and Conservation Technicians,2.A.1.e,Mathematics,2.75,0.1637,2.4292,3.0708,2.75,0.1637,2.4292,3.0708,21.6
19-4071.00,Forest and Conservation Technicians,2.A.1.f,Science,2.75,0.1637,2.4292,3.0708,2.25,0.1637,1.9292,2.5708,17.7
19-4071.00,Forest and Conservation Technicians,2.A.2.a,Critical Thinking,3.75,0.1637,3.4292,4.0708,3.38,0.183,3.0164,3.7336,36.2
19-4071.00,Forest and Conservation Technicians,2.A.2.b,Active Learning,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,25.7
19-4071.00,Forest and Conservation Technicians,2.A.2.c,Learning Strategies,3.0,0.189,2.6296,3.3704,3.0,0.0,3.0,3.0,25.7
19-4071.00,Forest and Conservation Technicians,2.A.2.d,Monitoring,3.12,0.125,2.88,3.37,3.62,0.183,3.2664,3.9836,32.3
19-4092.00,Forensic Science Technicians,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
19-4092.00,Forensic Science Technicians,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
19-4092.00,Forensic Science Technicians,2.A.1.c,Writing,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
19-4092.00,Forensic Science Technicians,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
19-4092.00,Forensic Science Technicians,2.A.1.e,Mathematics,2.75,0.1637,2.4292,3.0708,2.88,0.125,2.63,3.12,22.6
19-4092.00,Forensic Science Technicians,2.A.1.f,Science,3.25,0.1637,2.9292,3.5708,3.5,0.189,3.1296,3.8704,32.5
19-4092.00,Forensic Science Technicians,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
19-4092.00,Forensic Science Technicians,2.A.2.b,Active Learning,3.38,0.183,3.0164,3.7336,3.88,0.2266,3.4309,4.3191,37.5
19-4092.00,Forensic Science Technicians,2.A.2.c,Learning Strategies,3.0,0.0,3.0,3.0,3.25,0.1637,2.9292,3.5708,27.9
19-4092.00,Forensic Science Technicians,2.A.2.d,Monitoring,3.25,0.1637,2.9292,3.5708,3.25,0.1637,2.9292,3.5708,30.2
19-4099.01,Quality Control Analysts,2.A.1.a,Reading Comprehension,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
19-4099.01,Quality Control Analysts,2.A.1.b,Active Listening,3.38,0.183,3.0164,3.7336,3.75,0.1637,3.4292,4.0708,36.2
19-4099.01,Quality Control Analysts,2.A.1.c,Writing,3.25,0.1637,2.9292,3.5708,3.38,0.183,3.0164,3.7336,31.4
19-4099.01,Quality Control Analysts,2.A.1.d,Speaking,3.12,0.125,2.88,3.37,3.62,0.183,3.2664,3.9836,32.3
19-4099.01,Quality Control Analysts,2.A.1.e,Mathematics,3.0,0.0,3.0,3.0,3.25,0.1637,2.9292,3.5708,27.9
19-4099.01,Quality Control Analysts,2.A.1.f,Science,2.75,0.1637,2.4292,3.0708,2.88,0.125,2.63,3.12,22.6
19-4099.01,Quality Control Analysts,2.A.2.a,Critical Thinking,3.25,0.1637,2.9292,3.5708,3.62,0.183,3.2664,3.9836,33.6
19-4099.01,Quality Control Analysts,2.A.2.b,Active Learning,3.12,0.125,2.88,3.37,3.12,0.125,2.88,3.37,27.8
19-4099.01,Quality Control Analysts,2.A.2.c,Learning Strategies,2.75,0.1637,2.4292,3.0708,2.88,0.125,2.63,3.12,22.6
19-4099.01,Quality Control Analysts,2.A.2.d,Monitoring,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
19-4099.03,Remote Sensing Technicians,2.A.1.a,Reading Comprehension,3.5,0.189,3.1296,3.8704,4.12,0.2266,3.6809,4.5691,41.2
19-4099.03,Remote Sensing Technicians,2.A.1.b,Active Listening,3.38,0.2631,2.8594,3.8906,3.75,0.25,3.26,4.24,36.2
19-4099.03,Remote Sensing Technicians,2.A.1.c,Writing,3.25,0.1637,2.9292,3.5708,3.75,0.25,3.26,4.24,34.8
19-4099.03,Remote Sensing Technicians,2.A.1.d,Speaking,3.5,0.189,3.1296,3.8704,3.62,0.183,3.2664,3.9836,36.2
19-4099.03,Remote Sensing Technicians,2.A.1.e,Mathematics,3.5,0.2673,2.9762,4.0238,3.88,0.295,3.2967,4.4533,38.8
19-4099.03,Remote Sensing Technicians,2.A.1.f,Science,2.62,0.183,2.2664,2.9836,2.75,0.4119,1.9427,3.5573,20.6
19-4099.03,Remote Sensing Technicians,2.A.2.a,Critical Thinking,3.75,0.1637,3.4292,4.0708,3.88,0.295,3.2967,4.4533,41.6
19-4099.03,Remote Sensing Technicians,2.A.2.b,Active Learning,3.0,0.189,2.6296,3.3704,3.5,0.3273,2.8584,4.1416,30.0
19-4099.03,Remote Sensing Technicians,2.A.2.c,Learning Strategies,2.75,0.1637,2.4292,3.0708,3.0,0.189,2.6296,3.3704,23.6
19-4099.03,Remote Sensing Technicians,2.A.2.d,Monitoring,3.38,0.183,3.0164,3.7336,3.62,0.2631,3.1094,4.1406,35.0
19-5011.00,Occupational Health and Safety Specialists,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
19-5011.00,Occupational Health and Safety Specialists,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
19-5011.00,Occupational Health and Safety Specialists,2.A.1.c,Writing,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
19-5011.00,Occupational Health and Safety Specialists,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
19-5011.00,Occupational Health and Safety Specialists,2.A.1.e,Mathematics,3.0,0.189,2.6296,3.3704,3.25,0.1637,2.9292,3.5708,27.9
19-5011.00,Occupational Health and Safety Specialists,2.A.1.f,Science,2.75,0.1637,2.4292,3.0708,3.0,0.189,2.6296,3.3704,23.6
19-5011.00,Occupational Health and Safety Specialists,2.A.2.a,Critical Thinking,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
19-5011.00,Occupational Health and Safety Specialists,2.A.2.b,Active Learning,3.38,0.183,3.0164,3.7336,3.88,0.125,3.63,4.12,37.5
19-5011.00,Occupational Health and Safety Specialists,2.A.2.c,Learning Strategies,3.0,0.0,3.0,3.0,3.62,0.183,3.2664,3.9836,31.0
19-5011.00,Occupational Health and Safety Specialists,2.A.2.d,Monitoring,3.62,0.183,3.2664,3.9836,4.0,0.0,4.0,4.0,41.4
19-5012.00,Occupational Health and Safety Technicians,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,3.88,0.125,3.63,4.12,43.0
19-5012.00,Occupational Health and Safety Technicians,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
19-5012.00,Occupational Health and Safety Technicians,2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
19-5012.00,Occupational Health and Safety Technicians,2.A.1.d,Speaking,3.88,0.125,3.63,4.12,3.75,0.1637,3.4292,4.0708,41.6
19-5012.00,Occupational Health and Safety Technicians,2.A.1.e,Mathematics,2.75,0.1637,2.4292,3.0708,2.75,0.1637,2.4292,3.0708,21.6
19-5012.00,Occupational Health and Safety Technicians,2.A.1.f,Science,2.75,0.25,2.26,3.24,2.62,0.183,2.2664,2.9836,20.6
19-5012.00,Occupational Health and Safety Technicians,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
19-5012.00,Occupational Health and Safety Technicians,2.A.2.b,Active Learning,3.12,0.125,2.88,3.37,3.12,0.125,2.88,3.37,27.8
19-5012.00,Occupational Health and Safety Technicians,2.A.2.c,Learning Strategies,3.0,0.0,3.0,3.0,3.0,0.0,3.0,3.0,25.7
19-5012.00,Occupational Health and Safety Technicians,2.A.2.d,Monitoring,3.25,0.1637,2.9292,3.5708,3.75,0.1637,3.4292,4.0708,34.8
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.25,0.1637,3.9292,4.5708,48.6
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.1.b,Active Listening,4.25,0.1637,3.9292,4.5708,4.12,0.125,3.88,4.37,50.0
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.1.c,Writing,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.1.d,Speaking,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.1.e,Mathematics,2.0,0.0,2.0,2.0,1.88,0.125,1.63,2.12,10.7
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.1.f,Science,1.88,0.125,1.63,2.12,1.25,0.25,0.76,1.74,6.7
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.2.b,Active Learning,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.2.c,Learning Strategies,3.25,0.1637,2.9292,3.5708,3.75,0.1637,3.4292,4.0708,34.8
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,2.A.2.d,Monitoring,4.0,0.0,4.0,4.0,3.88,0.125,3.63,4.12,44.3
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.25,0.1637,3.9292,4.5708,47.1
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.1.b,Active Listening,4.38,0.183,4.0164,4.7336,4.12,0.125,3.88,4.37,51.6
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.1.c,Writing,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.1.d,Speaking,4.12,0.125,3.88,4.37,4.0,0.0,4.0,4.0,47.1
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.1.e,Mathematics,2.25,0.1637,1.9292,2.5708,2.12,0.125,1.88,2.37,13.6
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.1.f,Science,1.5,0.189,1.1296,1.8704,0.5,0.189,0.1296,0.8704,2.1
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.2.b,Active Learning,3.75,0.1637,3.4292,4.0708,4.0,0.189,3.6296,4.3704,42.9
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.2.c,Learning Strategies,3.75,0.1637,3.4292,4.0708,3.75,0.1637,3.4292,4.0708,40.2
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",2.A.2.d,Monitoring,3.75,0.1637,3.4292,4.0708,3.88,0.2266,3.4309,4.3191,41.6
21-1013.00,Marriage and Family Therapists,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.25,0.1637,3.9292,4.5708,48.6
21-1013.00,Marriage and Family Therapists,2.A.1.b,Active Listening,4.75,0.1637,4.4292,5.0,4.88,0.125,4.63,5.12,66.2
21-1013.00,Marriage and Family Therapists,2.A.1.c,Writing,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
21-1013.00,Marriage and Family Therapists,2.A.1.d,Speaking,4.25,0.1637,3.9292,4.5708,4.12,0.125,3.88,4.37,50.0
21-1013.00,Marriage and Family Therapists,2.A.1.e,Mathematics,2.0,0.0,2.0,2.0,1.75,0.1637,1.4292,2.0708,10.0
21-1013.00,Marriage and Family Therapists,2.A.1.f,Science,2.38,0.183,2.0164,2.7336,2.62,0.183,2.2664,2.9836,17.8
21-1013.00,Marriage and Family Therapists,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
21-1013.00,Marriage and Family Therapists,2.A.2.b,Active Learning,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
21-1013.00,Marriage and Family Therapists,2.A.2.c,Learning Strategies,3.38,0.183,3.0164,3.7336,3.88,0.125,3.63,4.12,37.5
21-1013.00,Marriage and Family Therapists,2.A.2.d,Monitoring,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
21-1014.00,Mental Health Counselors,2.A.1.a,Reading Comprehension,4.12,0.125,3.88,4.37,4.75,0.1637,4.4292,5.0708,55.9
21-1014.00,Mental Health Counselors,2.A.1.b,Active Listening,5.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,71.4
21-1014.00,Mental Health Counselors,2.A.1.c,Writing,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
21-1014.00,Mental Health Counselors,2.A.1.d,Speaking,4.25,0.1637,3.9292,4.5708,4.25,0.1637,3.9292,4.5708,51.6
21-1014.00,Mental Health Counselors,2.A.1.e,Mathematics,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,11.4
21-1014.00,Mental Health Counselors,2.A.1.f,Science,2.75,0.1637,2.4292,3.0708,3.62,0.183,3.2664,3.9836,28.4
21-1014.00,Mental Health Counselors,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,4.38,0.183,4.0164,4.7336,50.1
21-1014.00,Mental Health Counselors,2.A.2.b,Active Learning,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
21-1014.00,Mental Health Counselors,2.A.2.c,Learning Strategies,3.12,0.125,2.88,3.37,3.88,0.125,3.63,4.12,34.6
21-1014.00,Mental Health Counselors,2.A.2.d,Monitoring,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
21-1015.00,Rehabilitation Counselors,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
21-1015.00,Rehabilitation Counselors,2.A.1.b,Active Listening,4.12,0.125,3.88,4.37,4.25,0.1637,3.9292,4.5708,50.0
21-1015.00,Rehabilitation Counselors,2.A.1.c,Writing,3.5,0.189,3.1296,3.8704,4.0,0.0,4.0,4.0,40.0
21-1015.00,Rehabilitation Counselors,2.A.1.d,Speaking,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
21-1015.00,Rehabilitation Counselors,2.A.1.e,Mathematics,2.0,0.0,2.0,2.0,2.12,0.125,1.88,2.37,12.1
21-1015.00,Rehabilitation Counselors,2.A.1.f,Science,2.0,0.0,2.0,2.0,1.75,0.1637,1.4292,2.0708,10.0
21-1015.00,Rehabilitation Counselors,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
21-1015.00,Rehabilitation Counselors,2.A.2.b,Active Learning,3.25,0.1637,2.9292,3.5708,3.5,0.2673,2.9762,4.0238,32.5
21-1015.00,Rehabilitation Counselors,2.A.2.c,Learning Strategies,3.12,0.125,2.88,3.37,3.75,0.1637,3.4292,4.0708,33.4
21-1015.00,Rehabilitation Counselors,2.A.2.d,Monitoring,4.12,0.125,3.88,4.37,4.12,0.125,3.88,4.37,48.5
21-1021.00,"Child, Family, and School Social Workers",2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
21-1021.00,"Child, Family, and School Social Workers",2.A.1.b,Active Listening,4.88,0.125,4.63,5.0,4.75,0.1637,4.4292,5.0708,66.2
21-1021.00,"Child, Family, and School Social Workers",2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,4.12,0.125,3.88,4.37,44.1
21-1021.00,"Child, Family, and School Social Workers",2.A.1.d,Speaking,4.5,0.189,4.1296,4.8704,4.12,0.125,3.88,4.37,53.0
21-1021.00,"Child, Family, and School Social Workers",2.A.1.e,Mathematics,2.0,0.0,2.0,2.0,1.88,0.125,1.63,2.12,10.7
21-1021.00,"Child, Family, and School Social Workers",2.A.1.f,Science,2.25,0.3134,1.6358,2.8642,2.0,0.4629,1.0927,2.9073,12.9
21-1021.00,"Child, Family, and School Social Workers",2.A.2.a,Critical Thinking,4.12,0.125,3.88,4.37,4.25,0.1637,3.9292,4.5708,50.0
21-1021.00,"Child, Family, and School Social Workers",2.A.2.b,Active Learning,3.38,0.183,3.0164,3.7336,3.75,0.1637,3.4292,4.0708,36.2
21-1021.00,"Child, Family, and School Social Workers",2.A.2.c,Learning Strategies,3.12,0.125,2.88,3.37,3.12,0.125,2.88,3.37,27.8
21-1021.00,"Child, Family, and School Social Workers",2.A.2.d,Monitoring,3.88,0.125,3.63,4.12,3.88,0.125,3.63,4.12,43.0
21-1022.00,Healthcare Social Workers,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.25,0.1637,3.9292,4.5708,48.6
21-1022.00,Healthcare Social Workers,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.75,0.1637,4.4292,5.0708,54.3
21-1022.00,Healthcare Social Workers,2.A.1.c,Writing,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
21-1022.00,Healthcare Social Workers,2.A.1.d,Speaking,4.12,0.125,3.88,4.37,4.25,0.1637,3.9292,4.5708,50.0
21-1022.00,Healthcare Social Workers,2.A.1.e,Mathematics,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,11.4
21-1022.00,Healthcare Social Workers,2.A.1.f,Science,2.62,0.183,2.2664,2.9836,2.62,0.183,2.2664,2.9836,19.6
21-1022.00,Healthcare Social Workers,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1022.00,Healthcare Social Workers,2.A.2.b,Active Learning,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
21-1022.00,Healthcare Social Workers,2.A.2.c,Learning Strategies,3.12,0.125,2.88,3.37,3.62,0.183,3.2664,3.9836,32.3
21-1022.00,Healthcare Social Workers,2.A.2.d,Monitoring,3.25,0.1637,2.9292,3.5708,3.88,0.125,3.63,4.12,36.0
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.1.a,Reading Comprehension,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.1.b,Active Listening,4.12,0.125,3.88,4.37,4.0,0.0,4.0,4.0,47.1
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.1.d,Speaking,4.12,0.125,3.88,4.37,4.0,0.0,4.0,4.0,47.1
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.1.e,Mathematics,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,11.4
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.1.f,Science,2.62,0.183,2.2664,2.9836,2.75,0.1637,2.4292,3.0708,20.6
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.2.b,Active Learning,3.25,0.1637,2.9292,3.5708,3.88,0.125,3.63,4.12,36.0
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.2.c,Learning Strategies,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
21-1023.00,Mental Health and Substance Abuse Social Workers,2.A.2.d,Monitoring,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1091.00,Health Education Specialists,2.A.1.a,Reading Comprehension,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
21-1091.00,Health Education Specialists,2.A.1.b,Active Listening,4.12,0.125,3.88,4.37,4.0,0.0,4.0,4.0,47.1
21-1091.00,Health Education Specialists,2.A.1.c,Writing,4.12,0.125,3.88,4.37,4.0,0.0,4.0,4.0,47.1
21-1091.00,Health Education Specialists,2.A.1.d,Speaking,4.12,0.125,3.88,4.37,4.25,0.1637,3.9292,4.5708,50.0
21-1091.00,Health Education Specialists,2.A.1.e,Mathematics,2.12,0.125,1.88,2.37,2.25,0.1637,1.9292,2.5708,13.6
21-1091.00,Health Education Specialists,2.A.1.f,Science,2.5,0.189,2.1296,2.8704,2.75,0.1637,2.4292,3.0708,19.6
21-1091.00,Health Education Specialists,2.A.2.a,Critical Thinking,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
21-1091.00,Health Education Specialists,2.A.2.b,Active Learning,3.88,0.125,3.63,4.12,3.62,0.2631,3.1094,4.1406,40.1
21-1091.00,Health Education Specialists,2.A.2.c,Learning Strategies,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
21-1091.00,Health Education Specialists,2.A.2.d,Monitoring,3.25,0.1637,2.9292,3.5708,3.75,0.1637,3.4292,4.0708,34.8
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.1.e,Mathematics,1.88,0.125,1.63,2.12,1.25,0.25,0.76,1.74,6.7
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.1.f,Science,1.75,0.25,1.26,2.24,0.75,0.25,0.26,1.24,3.8
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.2.a,Critical Thinking,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.2.b,Active Learning,3.38,0.183,3.0164,3.7336,3.25,0.1637,2.9292,3.5708,31.4
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.2.c,Learning Strategies,2.25,0.1637,1.9292,2.5708,2.62,0.183,2.2664,2.9836,16.8
21-1092.00,Probation Officers and Correctional Treatment Specialists,2.A.2.d,Monitoring,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
21-1093.00,Social and Human Service Assistants,2.A.1.a,Reading Comprehension,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
21-1093.00,Social and Human Service Assistants,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1093.00,Social and Human Service Assistants,2.A.1.c,Writing,3.62,0.183,3.2664,3.9836,3.88,0.125,3.63,4.12,40.1
21-1093.00,Social and Human Service Assistants,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.12,0.125,3.88,4.37,47.1
21-1093.00,Social and Human Service Assistants,2.A.1.e,Mathematics,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,11.4
21-1093.00,Social and Human Service Assistants,2.A.1.f,Science,1.75,0.1637,1.4292,2.0708,1.5,0.3273,0.8584,2.1416,7.5
21-1093.00,Social and Human Service Assistants,2.A.2.a,Critical Thinking,3.62,0.183,3.2664,3.9836,4.0,0.0,4.0,4.0,41.4
21-1093.00,Social and Human Service Assistants,2.A.2.b,Active Learning,3.25,0.1637,2.9292,3.5708,3.25,0.1637,2.9292,3.5708,30.2
21-1093.00,Social and Human Service Assistants,2.A.2.c,Learning Strategies,2.88,0.125,2.63,3.12,3.0,0.0,3.0,3.0,24.7
21-1093.00,Social and Human Service Assistants,2.A.2.d,Monitoring,3.62,0.183,3.2664,3.9836,3.75,0.1637,3.4292,4.0708,38.8
21-1094.00,Community Health Workers,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
21-1094.00,Community Health Workers,2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1094.00,Community Health Workers,2.A.1.c,Writing,3.75,0.1637,3.4292,4.0708,4.0,0.0,4.0,4.0,42.9
21-1094.00,Community Health Workers,2.A.1.d,Speaking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1094.00,Community Health Workers,2.A.1.e,Mathematics,2.0,0.0,2.0,2.0,1.88,0.125,1.63,2.12,10.7
21-1094.00,Community Health Workers,2.A.1.f,Science,1.5,0.189,1.1296,1.8704,0.62,0.2631,0.1094,1.1406,2.7
21-1094.00,Community Health Workers,2.A.2.a,Critical Thinking,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
21-1094.00,Community Health Workers,2.A.2.b,Active Learning,3.88,0.125,3.63,4.12,3.88,0.125,3.63,4.12,43.0
21-1094.00,Community Health Workers,2.A.2.c,Learning Strategies,3.12,0.125,2.88,3.37,3.75,0.1637,3.4292,4.0708,33.4
21-1094.00,Community Health Workers,2.A.2.d,Monitoring,3.75,0.1637,3.4292,4.0708,3.75,0.1637,3.4292,4.0708,40.2
21-2011.00,Clergy,2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.75,0.1637,4.4292,5.0708,52.7
21-2011.00,Clergy,2.A.1.b,Active Listening,4.25,0.1637,3.9292,4.5708,4.62,0.183,4.2664,4.9836,56.1
21-2011.00,Clergy,2.A.1.c,Writing,3.88,0.125,3.63,4.12,4.12,0.125,3.88,4.37,45.7
21-2011.00,Clergy,2.A.1.d,Speaking,4.75,0.1637,4.4292,5.0,4.75,0.1637,4.4292,5.0708,64.5
21-2011.00,Clergy,2.A.1.e,Mathematics,1.88,0.125,1.63,2.12,2.12,0.3504,1.4383,2.8117,11.4
21-2011.00,Clergy,2.A.1.f,Science,1.38,0.183,1.0164,1.7336,0.38,0.183,0.0164,0.7336,1.5
21-2011.00,Clergy,2.A.2.a,Critical Thinking,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
21-2011.00,Clergy,2.A.2.b,Active Learning,3.75,0.1637,3.4292,4.0708,3.88,0.125,3.63,4.12,41.6
21-2011.00,Clergy,2.A.2.c,Learning Strategies,3.62,0.183,3.2664,3.9836,3.88,0.125,3.63,4.12,40.1
21-2011.00,Clergy,2.A.2.d,Monitoring,3.5,0.189,3.1296,3.8704,4.0,0.0,4.0,4.0,40.0
21-2021.00,"Directors, Religious Activities and Education",2.A.1.a,Reading Comprehension,3.88,0.125,3.63,4.12,4.0,0.0,4.0,4.0,44.3
21-2021.00,"Directors, Religious Activities and Education",2.A.1.b,Active Listening,4.0,0.0,4.0,4.0,4.0,0.0,4.0,4.0,45.7
